id,year,text,goal_type,n_chars,n_semicolons,n_constructs,constructs,goal_tokens,heuristic_difficulty
translated_imo_2011_p6,2011,"a b c = triangle a b c; o = circle o a b c; p = on_circle p o a; q = on_tline q p o p; pa = reflect pa p b c; pb = reflect pb p c a; pc = reflect pc p a b; qa = reflect qa q b c; qb = reflect qb q c a; qc = reflect qc q a b; a1 = on_line a1 pb qb, on_line a1 pc qc; b1 = on_line b1 pa qa, on_line b1 pc qc; c1 = on_line c1 pa qa, on_line c1 pb qb; o1 = circle o1 a1 b1 c1; x = on_circle x o a, on_circle x o1 a1 ? coll x o o1",coll,425,14,19,"['triangle', 'circle', 'on_circle', 'on_tline', 'reflect', 'reflect', 'reflect', 'reflect', 'reflect', 'reflect', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'circle', 'on_circle', 'on_circle']",4,31.0
translated_imo_2008_p6,2008,"x@4.96_-0.13 y@-1.0068968328888160_-1.2534881080682770 z@-2.8402847238575120_-4.9117762734006830 = triangle x y z; o = circle o x y z; w@6.9090049230038776_-1.3884003936987552 = on_circle w o x; a = on_tline a z o z, on_tline a x o x; b = on_tline b z o z, on_tline b w o w; c = on_tline c y o y, on_tline c w o w; d = on_tline d x o x, on_tline d y o y; i1 = incenter i1 a b c; i2 = incenter i2 a c d; f1 = foot f1 i1 a c; f2 = foot f2 i2 a c; q t p s = cc_tangent q t p s i1 f1 i2 f2; k = on_line k q t, on_line k p s ? cong o k o x",cong,534,12,16,"['triangle', 'circle', 'on_circle', 'on_tline', 'on_tline', 'on_tline', 'on_tline', 'on_tline', 'on_tline', 'on_tline', 'on_tline', 'foot', 'foot', 'cc_tangent', 'on_line', 'on_line']",5,30.0
translated_imo_2020_p1,2020,"p a b = triangle p a b; x = angle_bisector p b a; y = angle_bisector p a b; z = on_aline z a p a b x; t = on_aline t p a p a z; d = on_aline d p t p b a, on_line a z; u = on_aline u b p b a y; v = on_aline v p b p b u; c = on_aline c p v p a b, on_line b u; o = angle_bisector a d p, angle_bisector p c b ? cong o a o b",cong,319,9,13,"['triangle', 'angle_bisector', 'angle_bisector', 'on_aline', 'on_aline', 'on_aline', 'on_line', 'on_aline', 'on_aline', 'on_aline', 'on_line', 'angle_bisector', 'angle_bisector']",5,26.5
translated_imo_2000_p6,2000,"a b c = triangle a b c; h = orthocenter h a b c; t1 t2 t3 i = incenter2 t1 t2 t3 i a b c; h1 = foot h1 a b c; h2 = foot h2 b c a; h3 = foot h3 c a b; x1 = reflect x1 h1 t1 t2; x2 = reflect x2 h2 t1 t2; y2 = reflect y2 h2 t2 t3; y3 = reflect y3 h3 t2 t3; z = on_line z x1 x2, on_line z y2 y3 ? cong i z i t1",cong,306,10,12,"['triangle', 'orthocenter', 'incenter2', 'foot', 'foot', 'foot', 'reflect', 'reflect', 'reflect', 'reflect', 'on_line', 'on_line']",5,25.5
translated_imo_2000_p1,2000,"a b = segment a b; g1 = on_tline g1 a a b; g2 = on_tline g2 b b a; m = on_circle m g1 a, on_circle m g2 b; n = on_circle n g1 a, on_circle n g2 b; c = on_pline c m a b, on_circle c g1 a; d = on_pline d m a b, on_circle d g2 b; e = on_line e a c, on_line e b d; p = on_line p a n, on_line p c d; q = on_line q b n, on_line q c d ? cong e p e q",cong,342,9,17,"['segment', 'on_tline', 'on_tline', 'on_circle', 'on_circle', 'on_circle', 'on_circle', 'on_pline', 'on_circle', 'on_pline', 'on_circle', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line']",5,24.5
translated_imo_2008_p1a,2008,"a b c = triangle a b c; h = orthocenter h a b c; d = midpoint d b c; e = midpoint e a c; f = midpoint f a b; a1 = on_circle a1 d h, on_line a1 b c; a2 = on_circle a2 d h, on_line a2 b c; b1 = on_circle b1 e h, on_line b1 c a; b2 = on_circle b2 e h, on_line b2 c a; c1 = on_circle c1 f h, on_line c1 a b; c2 = on_circle c2 f h, on_line c2 a b ? cyclic c1 c2 b1 b2",cyclic,362,10,17,"['triangle', 'orthocenter', 'midpoint', 'midpoint', 'midpoint', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line']",5,23.5
translated_imo_2008_p1b,2008,"a b c = triangle a b c; h = orthocenter h a b c; d = midpoint d b c; e = midpoint e a c; f = midpoint f a b; a1 = on_circle a1 d h, on_line a1 b c; a2 = on_circle a2 d h, on_line a2 b c; b1 = on_circle b1 e h, on_line b1 c a; b2 = on_circle b2 e h, on_line b2 c a; c1 = on_circle c1 f h, on_line c1 a b; c2 = on_circle c2 f h, on_line c2 a b ? cyclic c1 c2 b1 a1",cyclic,362,10,17,"['triangle', 'orthocenter', 'midpoint', 'midpoint', 'midpoint', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line']",5,23.5
translated_imo_2015_p4,2015,"a b c = triangle a b c; o = circle o a b c; d = on_line d b c; e = on_line e b c, on_circle e a d; f = on_circle f o a, on_circle f a d; g = on_circle g o a, on_circle g a d; o1 = circle o1 f b d; o2 = circle o2 g c e; k = on_circle k o1 b, on_line k a b; l = on_circle l o2 c, on_line l a c; x = on_line x f k, on_line x l g ? coll x o a",coll,338,10,17,"['triangle', 'circle', 'on_line', 'on_line', 'on_circle', 'on_circle', 'on_circle', 'on_circle', 'on_circle', 'circle', 'circle', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_line', 'on_line']",4,21.0
translated_imo_2016_p1,2016,"a b z = triangle a b z; f = angle_bisector f b a z, on_bline f a b; c = on_tline c b f b, on_line c a f; d = on_line d a z, on_bline d a c; e = angle_mirror e c a d, on_bline e a d; m = midpoint m c f; x = parallelogram e a m x; y = on_line y f x, on_line y e m ? coll y b d",coll,274,7,13,"['triangle', 'angle_bisector', 'on_bline', 'on_tline', 'on_line', 'on_line', 'on_bline', 'angle_mirror', 'on_bline', 'midpoint', 'parallelogram', 'on_line', 'on_line']",4,19.5
translated_imo_2005_p5,2005,"a b c = triangle a b c; d = eqdistance d a b c; e = on_line e b c; f = on_line f a d, eqdistance f d e b; p = on_line p a c, on_line p b d; q = on_line q e f, on_line q b d; r = on_line r e f, on_line r a c; o1 = circle o1 a p d; o2 = circle o2 b p c; m = on_circle m o1 p, on_circle m o2 p ? cyclic p q r m",cyclic,307,9,15,"['triangle', 'eqdistance', 'on_line', 'on_line', 'eqdistance', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'circle', 'circle', 'on_circle', 'on_circle']",5,19.5
translated_imo_2003_p4,2003,"a b c = triangle a b c; o = circle o a b c; b1 = on_circle b1 o a, on_bline b1 c a; d1 = on_circle d1 o a, on_bline d1 c a; x = on_line x b b1, on_line x a c; d = on_line d d1 x, on_circle d o a; p = foot p d b c; q = foot q d c a; r = foot r d a b ? cong p q q r",cong,263,8,13,"['triangle', 'circle', 'on_circle', 'on_bline', 'on_circle', 'on_bline', 'on_line', 'on_line', 'on_line', 'on_circle', 'foot', 'foot', 'foot']",5,19.0
translated_imo_2019_p6,2019,"a b c = triangle a b c; d e f i = incenter2 d e f i a b c; r = on_tline r d e f, on_circle r i d; p = on_line p r a, on_circle p i d; o1 = circle o1 p c e; o2 = circle o2 p b f; q = on_circle q o1 p, on_circle q o2 p; t = on_line t p q, on_line t i d ? perp a t a i",perp,265,7,12,"['triangle', 'incenter2', 'on_tline', 'on_circle', 'on_line', 'on_circle', 'circle', 'circle', 'on_circle', 'on_circle', 'on_line', 'on_line']",5,18.0
translated_imo_2002_p2b,2002,"b c = segment b c; o = midpoint o b c; a = on_circle a o b; d = on_circle d o b, on_bline d a b; e = on_bline e o a, on_circle e o b; f = on_bline f o a, on_circle f o b; j = on_pline j o a d, on_line j a c ? eqangle c e c j c j c f",eqangle,232,6,11,"['segment', 'midpoint', 'on_circle', 'on_circle', 'on_bline', 'on_bline', 'on_circle', 'on_bline', 'on_circle', 'on_pline', 'on_line']",9,17.5
