name,year,part,conclusion_pred,n_constructs,n_unique_constructs,solved,status,n_initial_atoms,n_expanded_atoms,n_closed_atoms,n_steps,failure_reason,numeric_realized_points,numeric_target_ok,numeric_target_residual
translated_imo_2000_p1,2000,1,cong,17,5,False,unsolved,17,43,45,28,target not derived exactly; 6 facts with same predicate cong found,2,,
translated_imo_2000_p6,2000,6,cong,12,6,False,unsolved,12,56,56,44,target not derived exactly; 10 facts with same predicate cong found,16,True,2.220446049250313e-16
translated_imo_2002_p2a,2002,2a,eqangle,11,6,False,unsolved,11,31,38,27,target not derived exactly; 3 facts with same predicate eqangle found,3,,
translated_imo_2002_p2b,2002,2b,eqangle,11,6,False,unsolved,11,31,38,27,target not derived exactly; 3 facts with same predicate eqangle found,3,,
translated_imo_2003_p4,2003,4,cong,13,6,False,unsolved,13,39,45,32,target not derived exactly; 7 facts with same predicate cong found,3,,
translated_imo_2004_p1,2004,1,coll,12,6,False,unsolved,12,36,42,30,target not derived exactly; 3 facts with same predicate coll found,6,,
translated_imo_2004_p5,2004,5,cong,5,4,False,unsolved,5,14,17,12,target not derived exactly; 3 facts with same predicate cong found,3,,
translated_imo_2005_p5,2005,5,cyclic,15,5,False,unsolved,15,42,42,27,target not derived exactly; 0 facts with same predicate cyclic found,5,,
translated_imo_2007_p4,2007,4,eqratio,12,7,False,unsolved,12,38,45,33,target not derived exactly; 0 facts with same predicate eqratio found,5,,
translated_imo_2008_p1a,2008,1a,cyclic,17,5,False,unsolved,17,47,50,33,target not derived exactly; 0 facts with same predicate cyclic found,13,False,
translated_imo_2008_p1b,2008,1b,cyclic,17,5,False,unsolved,17,47,50,33,target not derived exactly; 0 facts with same predicate cyclic found,13,False,
translated_imo_2008_p6,2008,6,cong,18,8,False,unsolved,18,64,64,46,target not derived exactly; 6 facts with same predicate cong found,4,,
translated_imo_2009_p2,2009,2,cong,9,5,False,unsolved,9,30,34,25,target not derived exactly; 7 facts with same predicate cong found,3,,
translated_imo_2010_p2,2010,2,cong,11,7,False,unsolved,11,33,37,26,target not derived exactly; 5 facts with same predicate cong found,4,,
translated_imo_2010_p4,2010,4,cong,11,4,False,unsolved,11,31,37,26,target not derived exactly; 6 facts with same predicate cong found,3,,
translated_imo_2011_p6,2011,6,coll,19,6,False,unsolved,19,61,65,46,target not derived exactly; 6 facts with same predicate coll found,3,,
translated_imo_2012_p1,2012,1,cong,10,3,False,unsolved,10,41,41,31,target not derived exactly; 2 facts with same predicate cong found,11,True,0.0
translated_imo_2012_p5,2012,5,cong,9,4,False,unsolved,9,28,28,19,target not derived exactly; 2 facts with same predicate cong found,4,,
translated_imo_2013_p4,2013,4,coll,13,5,False,unsolved,13,39,41,28,target not derived exactly; 7 facts with same predicate coll found,6,,
translated_imo_2014_p4,2014,4,cong,10,5,False,unsolved,10,30,34,24,target not derived exactly; 4 facts with same predicate cong found,3,,
translated_imo_2015_p3,2015,3,coll,12,7,False,unsolved,12,38,45,33,target not derived exactly; 3 facts with same predicate coll found,6,,
translated_imo_2015_p4,2015,4,coll,17,4,False,unsolved,17,48,58,41,target not derived exactly; 6 facts with same predicate coll found,3,,
translated_imo_2016_p1,2016,1,coll,13,8,False,unsolved,13,44,48,35,target not derived exactly; 5 facts with same predicate coll found,3,,
translated_imo_2017_p4,2017,4,perp,11,7,False,unsolved,11,31,31,20,target not derived exactly; 2 facts with same predicate perp found,3,,
translated_imo_2018_p1,2018,1,para,9,5,False,unsolved,9,27,33,24,target not derived exactly; 0 facts with same predicate para found,3,,
translated_imo_2019_p2,2019,2,cyclic,10,4,False,unsolved,10,25,25,15,target not derived exactly; 0 facts with same predicate cyclic found,3,,
translated_imo_2019_p6,2019,6,perp,12,6,False,unsolved,12,47,51,39,target not derived exactly; 8 facts with same predicate perp found,9,,
translated_imo_2020_p1,2020,1,cong,13,4,False,unsolved,13,36,36,23,target not derived exactly; 0 facts with same predicate cong found,5,,
translated_imo_2021_p3,2021,3,coll,12,6,False,unsolved,11,32,34,23,target not derived exactly; 4 facts with same predicate coll found,6,,
translated_imo_2022_p4,2022,4,cyclic,14,6,False,unsolved,11,29,29,18,target not derived exactly; 0 facts with same predicate cyclic found,2,,
